Vacancy,Link to a vacancy,Salary,Company,Short description,Location,Date from creation,Full description,Link to a company
Brand Creative Designer,https://ph.indeed.com/rc/clk?jk=875fa50f52c77f05&fccid=07cd172ba8178216&vjs=3,,eWave Commerce,"Partnering with brands such as Nike, Canon, Coca-Cola Amatil, and Nestle, we work on some of the most exciting and innovative digital projects in the APAC…",Manila,13 days ago,"Specialists in industry disruption, eWave is an independent digital transformation agency with commerce at its core. Using service design thinking, we have an unwavering commitment to delivering experience-driven digital reinvention that inspires deeper relationships between brands and their customers.Partnering with brands such as Nike, Canon, Coca-Cola Amatil, and Nestle, we work on some of the most exciting and innovative digital projects in the APAC market.Our team is our strongest asset, and together, we’re reimagining consumer needs using methods that bring our clients closer to their customers than ever before. We’re thinkers, we’re creatives, we’re technologists, and we’re looking for people to join us on our journey.THE ROLEReporting to the Global Head of Creative, the Brand Creative Designer will champion the visual and conceptual side of our brand activities and initiatives and assure their adherence to developing the brand identity and work closely with them and key stakeholders on the brand identity of eWave and it’s products such as Quik AI (Artificial Intelligence Image Editor) and Luft (Headless Commerce Platform).The Brand Creative Designer will be responsible for the design and management of the brand image through the creation and review of all the visual elements of the brand. You will also be responsible for designing and ensuring the look and feel is on brand of all communication elements such as: social, digital, corporate branding, sales and pre-sales activities, corporate/brand/PR events and other marketing initiatives.You will be a creative thinker in a hands-on role with the ability to offer solutions to problems and provide recommendations based off available data as well as visually bring these to life and implement successfully delivery.Define the brand’s strategic creative direction, together with our Global Head of Creative, CEO and Chief Marketing Officer, delivering all creative elements of the brand including marketing & communications for all channels with a heavy emphasis on eCommerce and digitalResponsible for approval of the creative direction of all marketing communications and all brand Digital Asset managementAccountable for leading, managing and implementing the design for the brand in line with the business strategyIdentifying opportunities for improvement and realising when its time to replace content or styles across all mediaHave the ability to both support or lead the development of content strategy and execution accordinglyConceptualize and deliver original, compelling and resonating campaigns and launches which stand out and engage our target market, driving the demand and adoption of our market-leading productsOwn creative process end-to-end, including concept development, art direction, full production management and creation and delivery of final artworks in alignment with brand guidelines, project milestones and budget; act as the custodian of our brand visual identityYour day to day tasks will include:Creating digital assets for our websites, electronic direct mail, social mediaDesigning and executing engaging marketing campaignsDeveloping and growing digital design offerings to expand our marketing capabilitiesCreating and editing video and motion graphicsCreating visual campaigns & brand identities that are distinctive, compelling and on-brand, and will ignite the demand and adoption of our products and servicesTHE CANDIDATE4+ years of experience in a similar roleExperience in a eCommerce environment will be highly advantageousStrong interpersonal skills, coupled with effective prioritisation and time management skills will be crucial to your successAdvanced Adobe Suite experience. We need to know that the suite of Adobe products and in particular; InDesign, Illustrator, Acrobat Pro, are second nature to you but Premiere Pro and After Effects is idealVideo & moving image, in general, is at of inspiring our communications these days, so we need you to be great at creating and editing video content.Engaging & consistent. The ability to create innovative brand content across all channels including; LinkedIn, Sales & Pre-Sales pitches, marketing comms, website and occasionally some print collateral as well as external eventsCreative & resourceful; we want you to be the kind of individual that can look at something and have think how we can be able to re purpose and refresh it, so that it may be used again but know when to retire itTHE BENEFITSRemote Work opportunities with an ultra flexible working cultureProfessional Mentoring Program with Semi-Annual Performance Review, 360 Feedback and Individual Growth RoadmapMultiple learning opportunities and Professional Certification ProgramsWorking as a part of a Global team in a Multicultural EnvironmentUnlimited Paid Annual Leave (after first 12 months of employment)Gifted Birthday LeaveMedical Insurance ReimbursementRewarding Compensation PackageDare to be different!",https://ph.indeed.com/rc/clk?jk=875fa50f52c77f05&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKnlWDGGzHwu296EWXMB-dBskN0wkll9wDHc3mnStM4Hmg&astse=6a91f4f43c1b7d0e&assa=4858
Bilingual Customer Support Agent (English-Spanish),https://ph.indeed.com/rc/clk?jk=dae8bbe2cf4fef47&fccid=40dd09aee55d2bd2&vjs=3,,Lumikha,This position will work Australian shift depending on the client assignment and you may be expected to work on weekends and holidays.,Dumaguete,30+ days ago,"Atelier Lumikha is looking for Bilingual Customer Support Agents (English–Spanish) for our Australian Travel AccountAbout Our ClientOur client is a dynamic startup company that has been progressively shaping the travel industry in Australia and the UK. Just two years after their launch, the company has already earned a net worth of $10,000,000. They are racing to become one of the leading startups in Australia.The company is growing by leaps and bounds and they are in need of skilled and talented individuals to join the team.About the JobPeople travel every day and there are times when unexpected issues occur. Thus, your goal is to provide customer support and troubleshoot issues through technical competence and effective communication skills. You must know how to communicate in both English and Spanish fluently. You will assist them by responding to inbound calls, emails and chats with the goal of utilizing available tools to provide single call resolution and maintaining the utmost in customer satisfaction.You will work with the Support Team on our Australian travel account and you will report to the Team Supervisor who reports to the Operations Manager.Position dutiesReview and respond to incoming support calls. 40%Review and respond to incoming emails within 24 hours. 15%Review and update support tickets within 24 hours. 15%Review and respond to incoming chat requests. 15%Professional development 15%About YouThis is an entry-level position, so this might be your first job or your first time doing help desk support for international clients.Considering that your job is to offer assistance, you should be determined in your desire to help travelers as quickly as possible.You should plan to develop into your role and become an important and dependable team player.Your skills must include English and Spanish fluency; speed typing; and basic knowledge of using standard office applications like Google Documents, Google Sheets, and Google Slides. You should also be comfortable with using social media, internet research, and web browsing.Aside from your acquired skills (we’ll help you with those), you should have a curious mind and willingness to learn.Job DetailsThis is a full-time job located in Dumaguete City; however, we will consider part-time or remote/home-based work for the right candidate. This position will work Australian shift depending on the client assignment and you may be expected to work on weekends and holidays.For online applications, find us on our company website (https://lumikha.co), our recruiting website (https://lumikha.work), our Facebook page, on Twitter, and also on LinkedIn, Crunchbase, and Angellist.",https://ph.indeed.com/rc/clk?jk=dae8bbe2cf4fef47&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKnO7DUd9K8uYnt732x2nSMPkN0wkll9wDHc3mnStM4Hmg&astse=256f5a0240371148&assa=9047
Customer Service Delivery Specialistnew,https://ph.indeed.com/rc/clk?jk=c22d4ca681b4e794&fccid=2d7b3336dfa1c1f4&vjs=3,,Diebold Nixdorf,Positive attitude and enjoys team work in an ambitious entrepreneurial environment.Ability to interact and work closely with both technical & non-technical…,Makati,4 days ago,"Expect more. Connect more. Be more at Diebold Nixdorf. Our teams automate, digitize, and transform the way more than 75 million people around the globe bank and shop in this hyper-connected, consumer-centric world. Join us in connecting people to commerce in this vital, rewarding role.Position OverviewThe Customer Service Delivery Specialist is accountable for the delivery of Product Related Services (PRS) and Managed Services (MS) to Diebold Nixdorf Banking and Retail accounts in Philippines. The Customer Sevrice Delivery Specialist acts with account ownership to enable the delivery of high quality services to DN Customers, and ensures Service Support and Service Delivery processes are in place to meet our customer’s business needs, and DN’s internal needs. Reporting directly to the SDM Leader, working in collaboration with Country Service Ops Leads.You are responsible forAchieving SLAs and minimizing SLA penalties incurred, Gross Margin % attainment and improvement through Cost efficiencies and Revenue Management.Improving Customer satisfaction through NPS surveys and other customer sat reviews.Managing Commercial and Incident escalations, internal escalation paths as required.Account owner of the Incident, Request, Change and Escalation processes, ensuring high levels of performance in these processes, accurate reporting and establishing service improvement activities when required.As owner of the escalation process the SDM will take ownership of major incidents to ensuring coordination of resolving parties, effective communication to stakeholders and post incident review.Project Management acumen to ensure project related commitments to customers are delivered on time and to the quality levels desiredManage teams through technical issues to arrive at an acceptable resolution within the required timeframe.QualificationsMinimum education of Bachelor/ Master’s Degree in relevant courses.Experience in delivering IT related services in Financial and/or Retail Industry.Excellent communication skills and problem solving skillsFamiliar with working with multi-disciplinary teams to resolve problemsAbility to interact and work closely with both technical & non-technical staff in the deployment of solutions across a range of levels.Excellent leadership and people management skills.The ability to resolve constructively conflicting pressures and stakeholder expectations.Familiar with Project Management methodologies.Positive attitude and enjoys team work in an ambitious entrepreneurial environment.Preferred QualificationsExperience in delivering IT related services in Financial and/or Retail Industry.Why should you join Diebold Nixdorf?Brightest minds + technology and innovation + business transformation The people of Diebold Nixdorf are 23,000+ teammates of diverse talents and expertise in more than 130 countries, harnessing future technologies to deliver personalized, secure consumer experiences that connect people to commerce. Our culture is fueled by our values of collaboration, decisiveness, urgency, willingness to change, and accountability.Diebold Nixdorf is an equal opportunity employer and we value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.Areas of InterestCustomer ServiceExperience LevelMid-Senior Level AssociateCountryPhilippinesPrimary LocationPH-MakatiRemote - Work from HomeYesRemote LocationRemote, Philippines",https://ph.indeed.com/rc/clk?jk=c22d4ca681b4e794&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKmjTxNH2CECrLXN2QzwMYm-kN0wkll9wDHc3mnStM4Hmg&astse=4c74248497ec7b48&assa=3755
IT Site Systems Supt | Palawan,https://ph.indeed.com/rc/clk?jk=ea69bfd5e9dcf02c&fccid=9f7d74606c717e15&vjs=3,,Sitel,"Willing to work shifts, after hours and weekends.Willing to work shifts, after hours, and weekends.English proficiency in written and oral forms; ability to…",Puerto Princesa,15 days ago,"ABOUT USAs caring for customers becomes the differentiator that drives consumer engagement and spend, Sitel is advancing its position as a world leader in outsourced customer experience innovation. With over 30 years of industry-leading experience, Sitel’s 75,100 passionate and talented associates support more than 400 clients in 48 languages from 146 facilities strategically located in 22 countries. Combining comprehensive customer care capabilities, leading omnichannel solutions and unparalleled expertise across industries, Sitel collaborates with some of the best known global brands to help consistently deliver outstanding customer experiences. Sitel is a subsidiary of Groupe Acticall. Visit www.sitel.com to learn more.SUMMARY OF RESPONSIBILITIESProvide first level support for desktop computer systems under the guidance of the Site IT Team Lead and/or Senior Site IT Team Lead. Work with network and application engineers to ensure high end user satisfaction in a call center environmentInstall PC’s and other hardware peripherals, operation systems, software applications (images) as well as handle problem resolution and answer user questions and concerns through the corporate Response Center, which includes providing answers to questions and resolving problems for clients in person, via phone or from a remote location. Document activities related to fulfillment of requestsBASIC QUALIFICATIONSExperience in logging incoming problem calls, coordinating actions, follow through (tracking) to problem resolution and generating summary reportsEnglish proficiency in written and oral forms; ability to work with minimal supervision and to interface across functions and rankWilling to work shifts, after hours and weekends.Good communication skillsAbility to perform efficient troubleshooting skillsProficient in installing / troubleshooting PC hardwareExperience in logging incoming problem calls, coordinating actions, follow through (tracking) to problem resolution and generating summary reportsEnglish proficiency in written and oral forms; ability to work with minimal supervision and to interface across functions and rankWilling to work shifts, after hours, and weekendsWORK EXPERIENCEAt least 1-2 years of help desk or technical call center experienceEDUCATIONGraduate of IT related coursesKNOWLEDGE / SKILLS / ABILITIESExcellent verbal and written communications skillsProficient in installing/troubleshooting PC hardware, software and configurations; must have experience with Windows 2000/XP/7 and Vista, Microsoft Office suite including MS Outlook: Usage and configurationTRAINING / CERTIFICATIONIT related trainings that can support desktop troubleshooting and configurationsMCP certified or extensive technical background in the field of IT",https://ph.indeed.com/rc/clk?jk=ea69bfd5e9dcf02c&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKlZ_6zYRZ8Y3tUPbr2ZmHdkkN0wkll9wDHc3mnStM4Hmg&astse=04109f6efd063895&assa=8408
Middle Quality Assurance Engineer (Philippines)new,https://ph.indeed.com/rc/clk?jk=a399683ea3ebe633&fccid=07cd172ba8178216&vjs=3,,eWave Commerce,"Partnering with brands such as Nike, Canon, Coca-Cola Amatil, and Nestle, we work on some of the most exciting and innovative digital projects in the APAC…",Manila,7 days ago,"Specialists in industry disruption, eWave is an independent digital transformation agency with commerce at its core. Using service design thinking, we have an unwavering commitment to delivering experience-driven digital reinvention that inspires deeper relationships between brands and their customers.Partnering with brands such as Nike, Canon, Coca-Cola Amatil, and Nestle, we work on some of the most exciting and innovative digital projects in the APAC market.We are headquartered in Sydney, Australia, our team is our strongest asset, and together, we’re reimagining consumer needs using methods that bring our clients closer to their customers than ever before. We’re thinkers, we’re creatives, we’re technologists, and we’re looking for people to join us on our journey.THE ROLEWe are looking for a talented Middle Quality Assurance Engineer to join our distributed QA team. This is a unique opportunity to be part of a global digital transformation and consulting business, where you will work to produce industry-leading digital solutions that are driven by our three core values; efficiency, collaboration, and disruption.ResponsibilitiesBe a consultancy partner for your project team (well informed about all benefits and potential risks they might face with the solution chosen)Collaborate with your colleagues across all areas of the business, supplying detailed feedback regarding the project’s quality.Analyze incoming business requirements.Perform various types of testing (functional, integration, regression, user interface testing, cross-browser testing)Organize demo sessions and technical meetings with the Project team and client-side group.Explore and evaluate features right through the development processDevelop and support test documentation: test cases, checklists, bug reports.THE CANDIDATEYou have at least 2 years of experience with various types of testing (functional, integration, regression, user interface, cross-browser testing).Knowledge and understanding of the principles of client-server application architecture.Knowledge of SQL query language.Testing experience through API.Knowledge of Software Development MethodologiesExperience with Performance testing.Good English communication skills, both written and verbal.Magento experience or eCommerce background would be a great advantage.THE BENEFITSRemote Work Opportunities with an ultra-flexible working cultureProfessional Mentoring Program with Semi-Annual Performance Review, 360 Feedback, and Individual Growth RoadmapMultiple learning opportunities and Professional Certification ProgramsWorking as a part of a global team in a Multicultural EnvironmentUnlimited Paid Annual Leave (after first 12 months of employment)Gifted Birthday LeaveMedical Insurance ReimbursementRewarding Compensation PackageDare to be different!",https://ph.indeed.com/rc/clk?jk=a399683ea3ebe633&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKlkNypq-nBd80QTVH-4US0wkN0wkll9wDHc3mnStM4Hmg&astse=8958ddff7534b79a&assa=2185
Desktop Support Technician,https://ph.indeed.com/rc/clk?jk=0eaa329bb751efbf&fccid=1f9d0530a51ff611&vjs=3,,Finastra,"On behalf of the White Glove authorized user is performed by desk side personnel / or remote Help Desk support.Strong Knowledge of PC , Mac Windows 10 and iOS.",Manila,28 days ago,"What will you contribute?This position will provide onsite support for End User computer devices such as laptops/desktops, mobile devices, video conferencing equipment, and printers. The candidate will support VIP employees ( White Glove). The role will support incidents, service requests, IT onboarding and offboarding as well as basic IMAC responsibilities. The role will follow Finastra Asset management polices and procedures with the deployment, recovery and disposal of assets.Responsibilities & Deliverables:Your deliverables will include, but are not limited to, the following:Manage Desktops and Laptops running Microsoft Windows and Apple MAC OS using current Finastra procedures,Manage end user devices with the existing tools supporting printers, desk phones, voice mail, Skype& Teams, application setup/support, , Mobile Devices,.Provide support to all authorized users who access Finastra provided services, Help Desk device and software from any location, troubleshoot remotely using Finastra tools and break-fix services as applicableProvide status and updates on lncidents/ Problems at Finastra's request and according to severity guidelines.Coordinate Help Desk Service related act¡vities with Finastra's Level 2 and Level 3 support teams, and communicate with the authorized Users as necessary. Status communications on ticket progress with the enduser/requestor to be done and documented ¡n each ticket.Provide support for all video/audio conference end-points at all Finastra locations. (included vendor maintenance coordination and end user operational support)All activities in relation with White Glove Services (i.e. open new tickets, follow tickets, ensure the correct tickets closing, etc.) on behalf of the White Glove authorized user is performed by desk side personnel / or remote Help Desk supportPerform asset tracking, inventory management and monthly reporting (asset details, location)Required Experience:University Education or equivalentStrong Knowledge of PC , Mac Windows 10 and iOSStrong Customer Service and communication skills*************************************************************************************************************The above statements describe the general nature and level of work being performed by people assigned to this job. They are not intended to be an exhaustive list of all responsibilities, duties, and skills required. Reasonable accommodations may be made to enable qualified individuals with disabilities to perform the essential job functions. If you need assistance or an accommodation due to disability please contact your recruitment partner.*************************************************************************************************************",https://ph.indeed.com/rc/clk?jk=0eaa329bb751efbf&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKmswngkS-k8hILwkji4cnEgkN0wkll9wDHc3mnStM4Hmg&astse=8907b8a26e4d51e2&assa=7060
Digital Strategistnew,https://ph.indeed.com/rc/clk?jk=cb623828fc694105&fccid=5a10fbc743657754&vjs=3,,August 99,Positive attitude and willing to work with a team.Highly adaptable and willing to learn in a fast-paced work environment.Eager to Learn and grow.,Pasig,4 days ago,"2-4 yearsNight ShiftAgent ImageOrtigas, Pasig / remoteResponsibilitiesDesign the Homepage, Inner Pages, and Custom Requests in collaboration with the clientCome up with not just aesthetically pleasing designs, but also designs that are functional and user friendlyKeep up to date with current design trends – primarily in web design, but also in other fields as wellManage the website projects in production.Must maintain excellent customer relationships.Assist in tracking web project issues and drive their resolution.Create project status reports and deliver status updates to clients and managers.Determine what our clients’ goals are and provide expert advice on how clients can achieve these goals.Is responsible in ensuring that our clients are provided the services that they need in order to achieve their business goals.Provide support on internal and client projects.Coordinate with our Los Angeles office by phone & email.Anticipate errors in the projects prior to clients calling customer support or sales.Successful launch of projects with little to no tweaks from Quality Assurance.Be Proactive in reviewing the websites for possible issues and revisions.Establish smooth communication between clients and our development team, enabling different departments to work effectively and meet/surpass clients’ expectations.Able to accomplish a Minimum of 6 marked completed projects of 25 in progress/Active Projects, (All products including SEO only if DS has completed training) per month, 24 completions for last 4 consecutive months, and/or a total of 36 completions for last 6 months.Should not have more than 1 Valid escalation or escalation that lead to a cancellation for the last trimester.Is able to zero out non contacts every end of every week.Must undergo and pass Advanced IDX training.CompetenciesGreat CommunicatorTeam PlayerEager to Learn and growWell OrganizedPatientFlexible and ResourcefulTenacious and AssertiveGood AttitudeCoachableCreativeRequirementsExperience in project management or handling multiple clients at a given time Background in art and design is a must.Excellent written and oral communication skills with at least a neutral North American accent, including the ability to explain and present technical information.Background in customer support with at least 1 year experience servicing customers in the U.S. / North America.Background in handling internet-related products such as web hosting and web design.Ability to handle multiple tasks simultaneously, prioritize workload efficiently and meet strict deadlines.Highly adaptable and willing to learn in a fast-paced work environment.Goal-driven and detail-oriented.Positive attitude and willing to work with a team.Salesforce knowledge is a strong plus.WordPress knowledge is a strong plus.The Agent Image Digital Strategist is primarily responsible for handling clients that purchase AgentPro, Semi-Custom, ImagineStudio and True Custom website products.Assist our clients through the website production process until their website is launched.Act as a bridge between our clients and the productionEnsure the project remains within scope.Report the progress of projects to clients on a regular basis.Try to keep the project timeline within the approved schedule.Proactively make suggestions to clients on how to improve their online presence through industry best practices.Please email your CV to careers(at)august99(dotted)com",https://ph.indeed.com/rc/clk?jk=cb623828fc694105&from=vj&pos=bottom&sjdu=cADHDr2ipqZlAGMLwG_gs28j_JDrA5lIhUJgavK-2LKUVAmCbrfXComwXcSjBWVJ&astse=4ef7028a0f6473a6&assa=890
General Administration – Financial Assistant,https://ph.indeed.com/rc/clk?jk=38374631062e8be6&fccid=bd346a0ac5e2f59c&vjs=3,,BMG Outsourcing,This remote staff will also assist with some tasks in managing a 5-door property.Build your career with BMG Outsourcing – one of the well-respected Australian…,Clark Freeport Zone,30+ days ago,"Build your career with BMG Outsourcing – one of the well-respected Australian-owned Outsourcing Company with offices in Clark and Sydney, providing meaningful employment & promoting work-life balance to employees and high-quality services to clients.BMG Outsourcing is looking for a dynamic General Administration-Financial Assistant with excellent English communication, bookkeeping and administrative skills.The chosen candidate will join a respected company that provides central heating, plumbing, gas fitting, drain laying or solar hot water services. This remote staff will also assist with some tasks in managing a 5-door property.Duties and ResponsibilitiesGeneral Bookkeeping Tasks:Basic online bookkeepingPreparing completed job invoicesInput packing slips to FergusBank ReconciliationsDebtors/ Creditors ReconciliationsBudgeting ReconciliationsKPIs ReportingSpreadsheet AnalysisBasic Compliance tasksGeneral Admin Tasks:Email managementTracking and making follow up via email to prospectsAppointment and Calendar Job schedulingAfter a job follow communication via email or SMSEmail marketingData EntryOffice administration tasksGDrive and Dropbox organisation/managementIntranet site managementCreating document templatesCreating newsletter templatesBasic Online Marketing Tasks:Social media platforms and inquiries managementReporting competitors activitiesQualificationsStrong English verbal and written communication skillsExperience in bookkeepingExperience in general administration tasksExcellent organizational skillsExcellent interpersonal skillsExperience with Office and G suite apps (i.e., Word, Excel Google Docs, Google Forms)Knowledge of CRM tool such as MailChimpExperience in the plumbing industry recommendedExperience in office administration and small businessType of PersonReliableComputer literateTrustworthyCompetentProblem-solvingLogical thinkerHonestGood timekeepingFocusFor Interested Applicants, apply now.",https://ph.indeed.com/rc/clk?jk=38374631062e8be6&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKnpBXW8nOnas01IEC5mEsLOkN0wkll9wDHc3mnStM4Hmg&astse=a9cf1c2386a2ca76&assa=4517
Pediatrician,https://ph.indeed.com/rc/clk?jk=af9fff1e76bcad83&fccid=21a1e4528952b185&vjs=3,,Supply Oilfields Services Inc.,"Their International Medical Services work with global oil, gas, mining and energy corporations in assessing the health risks of their onsite employees working…",Philippines,30+ days ago,"Pediatrician (Landbased)Permanent rotational positions and locum assignmentsFull expatriate salary package and benefitsCurrent and future international opportunitiesInternational SOS is the world’s leading provider of global medical assistance, international healthcare and security services. Their unique expertise enable organisations to manage the health risks facing their international travellers, expatriates and global workforces.Their International Medical Services work with global oil, gas, mining and energy corporations in assessing the health risks of their onsite employees working in some of the most remote operational environments throughout the world. Due to continued growth International SOS (our principal) is seeking experienced Doctors and other allied medical professionals for current and future permanent and locum land base requirements across a range of key locations around the world.As a GP/Pediatrician you will be based on one of International SOS client’s remote operational site with the primary function of patient care at both the primary and emergency medicine level including medical evacuation support to the client’s onsite employees. In addition the clinics provide community, preventative and occupational health services.Key country location for opportunity is one of the island nation in the South Pacific.There are a range of permanent rotational positions allow you to continue to live in the Philippines whilst working a fixed rotation, flying in and out of your site of assignment. International SOS coordinates the flights and travel to and from site for each rotation and provide onsite accommodation and facilities.All locum assignments range from 2-8 weeks dependant on staffing movements within the remote site clinics. International SOS coordinates coordinate the flights and travel to and from site for the duration of the assignment and provide onsite accommodation and facilitates.THE PERSONFull registration to practice medicine in the PhilippinesFive years plus post board clinical experienceDiplomate of Philippine Pediatric SocietyValid BLS & ACLS certification & Drivers LicenseTO APPLYTo submit an application for this position click on the “Apply for this Position” below; once your application is submitted online it will be reviewed accordingly by our dedicated Supply Oilfield Services recruitment team or you may submit your resume at Marjorie.Viernes@Internationalsos.com.Supply Oilfield Services Inc. (License Number: POEA-244-LB-090303-R)Mag-ingat sa illegal recruiter. No fees to be collected. For manpower pooling only",https://ph.indeed.com/rc/clk?jk=af9fff1e76bcad83&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKm5y00bcWhEzjiLGYkRLF0CkN0wkll9wDHc3mnStM4Hmg&astse=50a22789ae78e034&assa=8093
Web Consultantnew,https://ph.indeed.com/rc/clk?jk=948ccfd95946239d&fccid=5a10fbc743657754&vjs=3,,August 99,"Can work with minimal supervision.Can work on shifting schedules and/or over time.Must be well-organized, self-directed and able to multitask, understanding…",Pasig,4 days ago,"2-4 yearsNight ShiftAgent ImageOrtigas, Pasig / remoteResponsibilitiesConstantly answer phone calls to support Agent Image clients and provide quality customer service and web consultations.Properly document customer’s request and issue related to any company product and services through different channels such as a phone call, email and chat.Can identify issues, needs and requirements of customers and record it via case on company’s internal management system and handle it in a timely manner.Ability to utilize any internal and external resources to provide resolution and/or suggestions to enhance client’s website.Setting the client’s expectations for turnaround time of services provided.Report or escalate issues to production team and efficiently follow up on tasks to meet deadlines ensuring completion of due dates and cases.Establishes and maintains rapport with existing and potential clients to effectively promote product solutions based on client needs and budget.Must be well-organized, self-directed and able to multitask, understanding the importance of detailed professional-quality work.Meet the team metrics set by the Web Consultant Team Lead.Can adapt to sudden changes implemented by management.Share any information on how to handle unfamiliar or difficult customer concerns for the team’s efficient performance.Customer service driven.Understands and follows company processes and policies.Must pass and complete Nesting period (2 weeks).Must pass Web Consultant nesting exam.Would need to meet the average number of opened cases base on the total opened cases of the team.Open cases must be 80% closed per month, consecutive of 6 months.Must have no more than 2 non contacts per day every month consecutively for 6 months.Would need to be trained and pass the IDX Basic Troubleshooting.Must pass the FEWD HTML/CSS exam and certification.Need to get at least 10 5 star dynamic reviews in a month.CompetenciesGood Communication SkillsProactiveTeam PlayerResourcefulDetail OrientedAdaptiveGood comprehension and analytical skillsCan work with minimal supervisionCustomer service driven.RequirementsBackground in customer support with at least 1 year experience servicing customers in the U.S. / North AmericaExcellent written and oral communication skills with at least a neutral North American accent, including the ability to explain and present technical informationAbility to handle multiple tasks simultaneously, prioritize workload efficiently and meet strict deadlinesGreat analytical and innovative problem solving skillsCan work on shifting schedules and/or over time.Salesforce experience is a plusExperience with website content management and any internet related products, such as web hosting, email hosting, email configuration and DNS host management is a strong plus.Familiar with Real Estate terminologies and general information is a plus.Agent Image’s Web Consultant is primarily responsible for providing support to any Agent Image clients and/or potential clients through various channels such as a phone call, email and/or slack.A Web Consultant should be able to handle customer inquiries and requests in a timely manner, identify the problems and offering solutions and recommendations that will improve clients’ website. At the same time each Web Consultant should be able to establish and maintain good rapport with every client that will make their experience better and satisfy them which will eventually be a possible lead in promoting the company’s products and services.Additionally, a Web Consultant must possess great interpersonal communication skills to better convey client requests to Agent Image’s production team.Please email your CV to careers(at)august99(dotted)com",https://ph.indeed.com/rc/clk?jk=948ccfd95946239d&from=vj&pos=bottom&sjdu=cADHDr2ipqZlAGMLwG_gs28j_JDrA5lIhUJgavK-2LKUVAmCbrfXComwXcSjBWVJ&astse=33fa96abb3a7ce4c&assa=1796
Service Desk Process Executive - BGCnew,https://ph.indeed.com/rc/clk?jk=38f46d8ce2b452e1&fccid=c67533a523c83a4c&vjs=3,,Infosys BPM Limited,Ability to resolve problems with or without remote tools.Aware of customer’s time restraints and work within those time limits.,Manila,Today,"Service Desk Process Executive - BGCInfosys BPM LimitedManilaJob ID/Reference CodePROGEN-External-102112Work Experience2 Years and aboveJob TitleService Desk Process Executive - BGCResponsibilities Key Responsibilities:1st Level Phone, Email, Chat, Self-Service Contact SupportRespond to and resolve customer requests, in relation to software, hardware and network operations, applications and infrastructure difficulties by providing fast, efficient and friendly customer service.Ability to resolve problems with or without remote toolsConsistently achieve First Contact Resolution performance metricAccurately documents ticketsAware of customer’s time restraints and work within those time limitsKeep users aware of resolution steps and update, providing end to end ownership of ticketsProvide users with issue reference numbers and request numbersEnter all troubleshooting/resolution steps into the trouble ticketUnderstanding of SLA requirements for the clientAssist in cross training and communicate quick fixesManage time and workload to meet predetermined service levelsEducational RequirementsGraduate DiplomaService LineBPO Service LinePreferred Skills: Technology(IBPO)->Enterprise Support Services->SAP L1 Technical Support Location of posting is subject to business requirements",https://ph.indeed.com/rc/clk?jk=38f46d8ce2b452e1&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKnOqU4iLrARJdUtm5kqi_AwkN0wkll9wDHc3mnStM4Hmg&astse=955a570373569bd2&assa=6406
